Ticker,SMA_50,SMA_200,Signal,Last_Crossover_Date
APOLLOHOSP,7056.82,6565.78,Golden Cross,23-10-2023
AXISBANK,1143.2,1160.5,Death Cross,12-12-2024
CIPLA,1486.84,1493.14,Death Cross,24-12-2024
DIVISLAB,5902.24,4851.42,Golden Cross,16-05-2024
DRREDDY,1264.83,1268.54,Death Cross,13-12-2024
HCLTECH,1793.46,1560.2,Golden Cross,22-07-2024
HDFCBANK,877.13,805.41,Golden Cross,19-06-2024
ICICIBANK,1283.17,1189.13,Golden Cross,23-10-2023
INFY,1824.44,1650.15,Golden Cross,12-07-2024
KOTAKBANK,351.79,353.39,Death Cross,26-12-2024
NIFTY50,24175.07,23873.4,Golden Cross,23-10-2023
SBIN,811.96,795.25,Golden Cross,23-10-2023
SUNPHARMA,1789.58,1662.53,Golden Cross,23-10-2023
TCS,3988.15,3898.83,Golden Cross,23-10-2023
TECHM,1666.05,1441.97,Golden Cross,23-10-2023
WIPRO,272.5,244.27,Golden Cross,23-10-2023
